date,store_name,item_name,amount_nzd,amount_twd,category,note
2026-06-27,uber,uber,25.75,452,transport,
2026-06-27,紅超,broccoli*2,2.98,52,food,
2026-06-27,紅超,anchor milk 0.3L,3.4,60,food,
2026-06-27,紅超,french stick plain,3.29,57,food,
2026-06-27,紅超,NZ beef prime mince,6.23,109,food,
2026-06-28,MELBA,早午餐,58.87,1032,food,
2026-06-28,AIR公車,AIR公車,6,104,transport,
2026-06-28,黃超,cookie time,5.99,106,food,
2026-06-28,黃超,toast wheatmeal,2.56,45,food,
2026-06-28,黃超,tasti protein fix triple choc,6.09,107,food,
2026-06-28,黃超,lettuce fancy,6.58,115,food,
2026-06-28,黃超,anchor milk 1L,3.47,60,food,
2026-06-28,黃超,anchor cheese slice,4.09,72,food,
2026-06-28,黃超,beehive ham peppered,2.49,44,food,
2026-06-28,黃超,beehive shv beef pastrami,2.49,44,food,
2026-06-28,黃超,steak,9.99,175,food,
2026-06-29,3號公車,3號公車,12,,transport,
2026-06-30,黃超,bluebird chip,1.99,,food,
2026-06-30,黃超,cup rice,2.59,,food,
2026-06-30,黃超,proper chrisps chip,4.49,,food,
2026-06-30,黃超,carrot 0.145kg,0.29,,food,
2026-06-30,黃超,kiwi gold 0.22kg,1.65,,food,
2026-06-30,黃超,kiwi green 0.52kg,1.55,,food,
2026-06-30,黃超,onion 0.255kg,0.42,,food,
2026-06-30,黃超,potato 0.66kg,2.15,,food,
2026-06-30,黃超,anchor milk 1L,3.47,,food,
2026-06-30,黃超,NZ beef diced,12.81,,food,
2026-06-30,黃超,tip top trumpet,6.59,115,food,
2026-07-01,綠超,綠超,28.64,503,food,
2026-07-02,黃超,sea salt,8.19,141,food,
2026-07-02,黃超,tasti protein mueslt bar dble choc,4.79,80,food,
2026-07-02,黃超,apple 0.205kg,1.02,14,food,
2026-07-02,黃超,onion 0.15kg,0.15,3,food,
2026-07-02,黃超,orange 0.32kg,3.99,62,food,
2026-07-02,黃超,lettuce fancy,6.98,119,food,
2026-07-02,黃超,potato 0.78kg,2.33,37,food,
2026-07-02,黃超,spring onion,1.99,31,food,
2026-07-02,黃超,primo chocolate milk 1.5L,6.19,105,food,
2026-07-02,黃超,NZ beef casserole steak,13.38,231,food,
2026-07-02,黃超,NZ chicken breast skinless,3.29,54,food,
2026-07-02,黃超,cooked chicken,6.99,119,food,
2026-07-03,macpac,美麗諾內搭,239.86,4390,shopping,
2026-07-03,黃超,toast wholemeal,3.94,,food,
2026-07-03,黃超,lettuce fancy,3.49,,food,
2026-07-03,黃超,beehive ham peppered,2.49,,food,
2026-07-03,黃超,beehive ham shaved champange,2.49,,food,
2026-07-03,黃超,pams cheese slice,3.99,,food,
2026-07-04,超商,炒飯,14,,food,
2026-07-04,超商,牛奶,4.9,,food,
2026-07-04,AIR公車,AIR公車,6,106,transport,
2026-07-05,AIR公車,AIR公車,6,106,transport,
2026-07-05,Taco Bell,雙人套餐,29.99,551,food,
2026-07-05,8號公車,8號公車,6,110,transport,
2026-07-05,洗衣服,洗衣服,12,220,other,
2026-07-05,黃超,bluebird chip,1.99,,food,
2026-07-05,黃超,meadow fresh milk 2L,5.95,,food,
2026-07-05,黃超,whittakers dark 72%,7.76,,food,
2026-07-06,seoul tiger,韓式拌飯,41.8,,food,
2026-07-06,黃超,prime beef mince,13.16,,food,
2026-07-06,黃超,cup rice,2.79,,food,
2026-07-06,黃超,broccoli*2,2.98,,food,
2026-07-06,黃超,banana 0.325kg,1.39,,food,
2026-07-06,黃超,lettuce iceberg,3.99,,food,
2026-07-06,黃超,onion 0.445kg,0.89,,food,
2026-07-06,黃超,carrot 0.185kg,0.37,,food,
2026-07-06,黃超,tomato 0.07kg,0.7,,food,
2026-07-06,黃超,potato 0.16kg,0.45,,food,
2026-07-06,黃超,bread scottish bap,2.99,,food,
2026-07-06,黃超,egg,8.99,,food,
2026-07-07,miss saigon,牛肉河粉,33.8,,food,
2026-07-08,印度料理,印度料理,38,,food,
2026-07-08,黃超,aveeno,15.99,,shopping,
2026-07-08,黃超,campbell conden soup,2.79,,food,
2026-07-08,黃超,tomato whole pee,1.05,,food,
2026-07-08,黃超,hams,6.28,,food,
2026-07-08,黃超,walnut,6.7,,food,
2026-07-08,黃超,bluebird chip,1.89,,food,
2026-07-08,黃超,ploughmans glors grns,1.99,,food,
2026-07-08,黃超,pams cheese slice,4.05,,food,
2026-07-08,黃超,prime beef mince,13.09,,food,
2026-07-08,黃超,meadow fresh milk 3L,8.99,,food,
2026-07-08,黃超,tomato whole pee,1.05,,food,
2026-07-08,黃超,long pasta,1.69,,food,
2026-07-08,黃超,brinks chicken brst,9.95,,food,
2026-07-08,黃超,spinach leaf ball,5.99,,food,
2026-07-08,黃超,broccoli*4,5.96,,food,
2026-07-08,黃超,mushrooms 0.522kg,5.21,,food,
2026-07-08,黃超,potato 0.24kg,0.55,,food,
2026-07-08,黃超,onion 0.785kg,1.17,,food,
2026-07-09,miss saigon,牛肉河粉,31.8,,food,
2026-07-10,solvlaki,雞肉捲餅,34,612,food,
2026-07-10,黃超,valentinos oat milk,7.2,,food,
2026-07-11,黃超,cookie time,5.99,,food,
2026-07-11,黃超,prime beef mince,11.83,,food,
2026-07-11,黃超,黃超袋子,0.95,,other,
2026-07-11,黃超,cup rice,2.79,,food,
2026-07-11,黃超,broccoli,1.49,,food,
2026-07-11,黃超,cup rice,2.79,,food,
2026-07-11,黃超,carrot 0.3kg,0.45,,food,
2026-07-11,黃超,onion 0.41kg,0.6,,food,
2026-07-11,黃超,potato 0.453kg,1.04,,food,
2026-07-11,黃超,tomato 0.34kg,2.72,,food,
2026-07-11,黃超,broccoli,1.49,,food,
2026-07-11,黃超,beef casserole steak,15.91,,food,
2026-07-13,miss saigon,牛肉河粉,31.8,,food,
2026-07-13,chemist,指甲膠水,4.9,,shopping,
2026-07-13,kosco,果凍條 小瓜呆,14,,food,
2026-07-14,sabry souvlaki,沙拉碗,32,578,food,
2026-07-14,黃超,value milk 2L,4.89,,food,
2026-07-14,黃超,cup rice,2.79,,food,
2026-07-14,黃超,cup rice,2.79,,food,
2026-07-14,黃超,鯖魚罐頭,2.69,,food,
2026-07-14,黃超,protein bar,5.39,,food,
2026-07-14,黃超,nut bar,2.99,,food,
2026-07-14,黃超,花生醬,5.49,,food,
2026-07-14,黃超,raw walnut,13.89,,food,
2026-07-14,黃超,黃超袋子,0.95,,other,
2026-07-14,黃超,spiral pasta,1.75,,food,
2026-07-14,黃超,kiwi gold 0.505kg,4.04,,food,
2026-07-14,黃超,carrot 0.26kg,0.47,,food,
2026-07-14,黃超,onion 0.52kg,0.77,,food,
2026-07-14,黃超,potato 0.695kg,1.73,,food,
2026-07-14,黃超,beef casserole steak,14.18,,food,
2026-07-15,kebab on terrace,沙拉碗,28,,food,
2026-07-16,kebab on terrace,沙拉碗,31,,food,
2026-07-16,黃超,pams cheese slice,4.05,,food,
2026-07-16,黃超,broccoli florets,5.99,,food,
2026-07-16,黃超,冷凍毛豆,2.99,,food,
2026-07-16,黃超,油麵,3.35,,food,
2026-07-16,黃超,spiral pasta,1.75,,food,
2026-07-16,黃超,tomato whole pee,0.69,,food,
2026-07-16,黃超,tomato whole pee,0.69,,food,
2026-07-16,黃超,鯖魚罐頭,2.69,,food,
2026-07-16,黃超,tomato whole pee,0.69,,food,
2026-07-16,黃超,tomato whole pee,0.69,,food,
2026-07-16,黃超,雜糧吐司,2.56,,food,
2026-07-16,黃超,sliced champagne,5.93,,food,
2026-07-16,黃超,sliced champagne,5.59,,food,
2026-07-16,黃超,sliced champagne,5.88,,food,
2026-07-16,黃超,inghams wattoa free,10.74,,food,
2026-07-16,黃超,nut bar,2.99,,food,
2026-07-16,黃超,onion 0.935kg,1.39,,food,
2026-07-16,黃超,toast,2.82,,food,
2026-07-16,黃超,toast,1.99,,food,
2026-07-16,黃超,leek,1.99,,food,
2026-07-16,黃超,巧克力餅乾,3.39,,food,
2026-07-16,黃超,value milk 3L,6.99,,food,
2026-07-17,洗衣服,洗衣服,12,228,other,
2026-07-17,烘衣服,烘衣服,6,114,other,
2026-07-19,tekapo spring,溜冰,50,,leisure,
2026-07-20,販賣機,泡麵,6,110,food,
2026-07-21,青旅,牛肉餡餅,15,,food,
2026-07-22,Mowgli rice bowl,Mowgli rice bowl,45,,food,
2026-07-22,洗衣服,洗衣服,6,115,other,
2026-07-22,烘衣服,烘衣服,6,115,other,
2026-07-23,Burrito Craft,豬肉捲餅,40,753,food,
2026-07-23,運動用品店,美麗諾面罩,100,,shopping,
2026-07-23,公車,公車卡,30,,transport,
2026-07-23,outsport,滑雪手套,80,,shopping,
2026-07-23,黃超,whittakers,7.39,,food,
2026-07-23,黃超,whittakers,7.39,,food,
2026-07-23,黃超,whittakers,7.39,,food,
2026-07-23,黃超,油麵,3.35,,food,
2026-07-23,黃超,nut bar,2.99,,food,
2026-07-23,黃超,花生醬,5.49,,food,
2026-07-23,黃超,cup rice,2.59,,food,
2026-07-23,黃超,wholemeal toast,3.99,,food,
2026-07-23,黃超,tip top trumpet,7.29,,food,
2026-07-23,黃超,vaue milk 2L,4.89,,food,
2026-07-23,黃超,beef mince premium,11.6,,food,
2026-07-23,黃超,beef mince premium,11.63,,food,
2026-07-23,黃超,雞腿肉,9.93,,food,
2026-07-23,黃超,ham sliced champagne,3.58,,food,
2026-07-23,黃超,broccoli*4,9.96,,food,
2026-07-23,黃超,leek*2,3.98,,food,
